source_row,text_sha256,label,split,near_duplicate_group
108,623146cb96d341f0cc1c60b072e8466bd7b89497670b55dc97ce922254b4fe44,LEGITIMATE,validation,105
109,9a095e59cf3a0b210119f81336822e307d915932939d9527bc5a5b90902932dd,LEGITIMATE,train,106
110,b2cee0ad01b65be1adc3e2833cf87a2c6f6c0029800baa875e9f48da65692d6d,LEGITIMATE,train,107
111,199bbde098179a0c4cceb130757d4d9fdab53833555a0541b0c066f8adb5180a,LEGITIMATE,train,108
112,01801c9d01278fde215bda30eff8583afe0b8d8e91c05cdfe767526da7f4c92f,LEGITIMATE,validation,109
113,69c514d110856466192c0fb804a476133bbabd8ce4dd9ef09827e9b2d6bedcb5,LEGITIMATE,train,110
114,abd1d7e217d0a885ad764199254433c0dbaea939f126a46d027368aad3267e1b,LEGITIMATE,train,111
115,ccb3ddab16ba44935c37573b067f92ddfcb52714994f8ea93108034bdc3851ff,LEGITIMATE,test,112
116,f03bd6ee30acc4ab7ea9c6db6391721a55debc5eaf3d36bc2e1394e6621e9fad,SPAM,test,113
117,e6c77f25c132a5c4f0752e3c1fe060fd9deedcbe6133ede29ab41118085e0583,LEGITIMATE,train,114
118,aab4c4a078b6f5391338ab61039e6e32047bbc5e8da93561bfb7e4e0f9ea6c73,SCAM,train,115
119,8a8e7f746c5d5aceb3db316172656b3f421730a078046480d6f29947c3ec9749,SPAM,train,116
120,83963480fa8f2cc63032b703b9ea171b585db44b912708ad91c9370a53732af8,LEGITIMATE,train,117
121,95dac51ab999c438e8294ad807b81c0702501ef8ae1ba7a881a4ecaf9fd029b2,LEGITIMATE,train,118
122,5cd63dfff1060035d352867c59e0779289fa45456f1cb497c8c505b978cb2fa7,SPAM,validation,119
123,044489519501a58c5189dbf4dbca409d481d3b13cd23fa70ce92c775c4579b9c,SCAM,test,120
124,e128cfeadd6a908daeff30450ffe0b37e41c116045ae537b090b36af73543708,SPAM,train,121
125,fd343e40c48a2579c736b13d1d828467823a54611f9bf3f5ed260314cb62ab43,LEGITIMATE,train,122
126,3e6c2fabc182f4c6a7d3552e5865ba8f312d7885935eaf5268e784f3918e7880,LEGITIMATE,train,123
127,c2ea4df621b6271d7cf2f058b4f455f408a29754ad81cf32ae7fc760c41aca6f,SPAM,validation,124
128,0be0154c933462600ce8e7bb3b67241998da81d3a1832be2cb69d8c074373432,LEGITIMATE,train,125
129,3f9af23d00aef3023b34e7fdea59d9e55c6c124c7528ab7aca194df5bfbd60e8,LEGITIMATE,train,126
130,9846c330a4b392f01a439c5d97802599e9eeb96fef12f899c3638edeaab72abb,LEGITIMATE,validation,127
131,2b455678484102dbd490ce3f8aad5669a88b94a063fde1f1af0fdc7dd2adee59,LEGITIMATE,train,128
132,30c39e7caccf410ca5a3d6b65f2ef0055cf4bac635f82fe55c7276c606b758f5,LEGITIMATE,train,129
133,56e171dd4259c20118e8b9911167a0f313a4ddb8d84bb236a9396a45994a70b6,SPAM,test,130
134,00913cef889b5fabbd3c33dca43e973f3fc812cbc9b61b2cb22b83b77201181b,LEGITIMATE,train,131
135,9ee833ff3310dde36aac250106422112a0e534d3319017f23acd635b2d299455,LEGITIMATE,test,132
136,c3fb10f8218488bc2128ec8345884437a42f0bb862557f936f08a56bd8948062,LEGITIMATE,train,133
137,7be7d081110fb39163344680115a1d1b52712687cec8a0e402103c8cb6c50913,LEGITIMATE,test,134
138,f52ec77ea9a396b4a751bb337b10f52924aa972e7878f826afa599ae5ebf6ec3,LEGITIMATE,train,135
139,ce03bda231382aa1c3f394b57caea1ea8663f134cc1d327f3671a6eb084b9043,LEGITIMATE,train,136
140,c8e0eceaea0d1672bdc2d48acf558fbcadc418cf5a9c9743692e14afe62533ab,LEGITIMATE,train,13
141,fba8c6520681869c7fae2095fa341c51a4cfd68bd109fb65b749f24e78c774c2,LEGITIMATE,train,137
142,82ac10a09722b91c79396788e6844fc9b1308f2bd606b7d621fa1ce435fb6995,SPAM,train,138
143,06e00d48eb419e06c556b10889067e9f9c5b1615657607987143a204e546a567,LEGITIMATE,train,139
144,ad160e4d1728003b1c58e6c148f77a086411483bb1ddb7b43bd0799150baec10,LEGITIMATE,train,140
145,2927518c4a9e46b9415411a9928ba45a778a1697b66658e7dae8c277151d5346,LEGITIMATE,test,141
146,0283812b74b480a3f4523d021cc48cab606560a1176ae0487febbc679025ff9d,LEGITIMATE,test,142
147,e4554773c0d664ab572eb551181ca9267e1c6c1eb57f7153838de0c5a901d27b,LEGITIMATE,validation,143
148,35e7ee96e6a657755e625921d4a6dc1da4e20be3276e30c705dfcb365bbf3cce,LEGITIMATE,train,144
149,8080044d3e610e6f3a5eb825dbd622e1c7a964a380896c0bfed14c1dc2d00488,LEGITIMATE,train,145
150,6000cb728ec77d051ffc27c0c05c14aa95d89d14db9f6bf99c8d2169685c1c90,LEGITIMATE,test,146
151,9a937ee309cff401be42fc0ba5e6f6f4a67934db917c9faf9eddf9f89af53a8d,LEGITIMATE,validation,147
152,942642e0b2a69a3a306c1bc0dd986c685ca89dddf739bcbf099a95b9b07a73d7,LEGITIMATE,train,148
153,dc588ab16e80f57522e415d7b9f0129750595e539ae35f3f579458e689e37783,LEGITIMATE,test,149
154,704a5dc5523d0ff91802bfe3ad9d549fc379be77717526ecc2c1bd0e17d538cf,LEGITIMATE,test,150
155,56ee2d3e1ad30a4aadd097dcd77371c62bfd84c462968fbbf458d6f6cff9f9ef,LEGITIMATE,validation,151
156,1ca11548bda7e4947fbcaf98341cdfb58e8925ab4c43e8defa28c1e72b15fede,LEGITIMATE,test,152
157,bcf011762f1082c58f6a26e4620b0d878684839ae5484eb10805d2ac0dc78759,SCAM,train,153
158,79ef75a334d4e7ecc690cf22319d93fae9f3ad9089275eddf643f50c01aecd43,SPAM,train,154
159,e512e4848920f879dea7f61a1bc4ce312537f969c8c3d73545cff51b95a01d48,LEGITIMATE,train,155
160,a65469f3f6f4a92bb658b2f4ebe951a1e4a00640f2423efa7e111cd285525ab9,LEGITIMATE,validation,156
161,84d412429c4166de10c836208eb3c452f8d720225d4499524f9e4ac28913984a,LEGITIMATE,train,157
162,a38bec10094a615f017b971457e7a9539403c74362f758b532eca69541b6aaa0,SPAM,train,158
163,a719b68d2373ede8bd2863d53d74b299a2429bc50433a099a68976593b9f4b3a,LEGITIMATE,validation,159
164,6bec5294bd41e2f0a9c9af8adda13eee8068680d5c8eb6b366b0272b56d7967b,LEGITIMATE,train,160
165,7d24c023f05a07e0b5148538bd5c19d756826247a28505b6d1e2dbad88fd96f5,LEGITIMATE,train,161
166,9979e948cf69b7e679c6422315193a30c74140147602c084c01844ac69d6bfd6,LEGITIMATE,validation,162
167,043de9073959b37b0a4bc57d1bc21b2ee1ea322f7b9187bea350bf7b0beca375,SPAM,test,163
168,1171c980ce9ad236e4ad475f269d3e384bb1508d86db373be85146d00b4fa6fa,SPAM,train,164
169,8d550d6ac24a301f753e4644b1a7af74087dea547add93765f8ecab6123a9026,LEGITIMATE,train,165
170,9ee4af658b6a5010665bbb84432602716fd5f6e63efaf1f16cc86562ea84c061,LEGITIMATE,train,166
171,f880161a94dc685b83974798bebc958c1174b216058d9d17f5df1ae8746e27a2,SCAM,train,167
172,b85daa7e07289581c47e6754b0da7fb82ce366e0908352e62410f3ff892a0cd2,LEGITIMATE,train,168
173,cfcc34d135dbd85a7e171f77fa628a2e3049e696224834926558be3e402511e3,LEGITIMATE,train,169
174,111adb0f1addb9b48ef1451e73fa3bf67024f5b2cfe715faf0b15e2e3098ef4b,LEGITIMATE,train,170
175,cc0fff9378d264cb2de24380573e9e396878f06483f0c3bb0361ab76e8aaebb7,SCAM,train,171
176,5482830b28743d4098d128d2f7a5730afb8938ffb83246cd60c4cc71a1516bd6,LEGITIMATE,test,172
177,6ffdccdd8a3cdfab0f29a9d06ed881604b15bb4947cb0468eb242941f5411d9a,LEGITIMATE,train,173
178,fe24f1a54132add84b7db701295c71fca28152da6050c3599a2f714e032b664b,LEGITIMATE,test,174
179,5b6e2fa98bf9e028b17b10c7872db6c06dc078ee7d36ce20196c16035963df0c,LEGITIMATE,train,175
180,caecf0d7c07862518f908fdb1c6d04decd0f9b865447ac252017f444141c1ae3,LEGITIMATE,train,176
181,869bae5afdda404da0cf2968ea65451f73a865c13190b272d093840e055f4295,LEGITIMATE,test,177
183,1d00fb85b0815ae1b6cbae395e62910e0ae3d31cba3c1fa06116def6979a52fd,LEGITIMATE,test,178
184,4a1eaec023d2f3968badd1195a843bb98c4a11c85b79178a8f9bc330ee0d01fd,LEGITIMATE,train,179
185,728af0a0026469bb0d86b646e61b35d4fb4ea9d64c54ed598181c784991c616c,SCAM,train,180
186,feccd1ba2a41bc71a8fc02d7e15b02b4ebefe2bdfe677bfd37c1a0e36893d973,LEGITIMATE,train,181
187,f0f41e2e526630d4a8f5d20fb0f6fde4db83f408e830302d1eb52867cdb24e8b,LEGITIMATE,train,182
188,25676ab4d6425d35915d83adab438ffb7d694f8338a1630c5d576dfbc766c5de,SCAM,validation,183
189,74ff737c73b792b9b97f9f80ccceec1fc6bf64ea21609688b9bdba3d958af0b2,SCAM,test,184
190,b404f5c7c9685799a5f4064a93e2c96db8b0cde2657c9a36cee95deb5daea670,LEGITIMATE,train,185
191,7ec77d2b3caabe58e4f287b3826d43241b69fe5966da6152383e09c25c19a303,SCAM,train,186
192,e33bd2edf4d90af83293af7a6c2b3318eb02acacc830a7a4602953d4489699e6,LEGITIMATE,train,187
193,0b2332da9fcbead70087f5a68d8155a7b860f9f405692e44bb9f78e1ad45f455,LEGITIMATE,train,188
194,57947283206611e5e59825c81d1ea8c6db1aa802aeea13ad40a9841064fa24b2,LEGITIMATE,train,189
195,2e258e326271878852d6fa87e685cf62b89ebde726591607853a8f3c70ed4e28,SCAM,validation,190
196,25e1484793c46c77b71d7ed6dc017534ab3ffce9018c26ef7758fad604cafbf4,LEGITIMATE,train,191
197,0d65e4c2128a88f39382eb2bd1d34e2ed99f8a61aba68a9944d9c8db7e2cce8e,SCAM,train,192
198,0672dc9e5aafc4e9d30202723411e43f452147428a76c2fbb27b79aff1fe1cbb,LEGITIMATE,validation,193
199,48dcd6f8507b46dba6212cf8b8ca8227a8088eab1154dc60d84ec054e5f032f6,LEGITIMATE,validation,194
200,ce3f15e3ada54a52082a8704a0732b7d646c385dad6611138907b93d9135c55c,LEGITIMATE,train,195
201,19e7b0bb678143b1943781221bbb83db708569fdda15bd748a98f70b16df8d08,LEGITIMATE,train,196
202,94a95bac90b52101a22170e3ee6075108eae6f437f6fd6f951be28004384bec1,LEGITIMATE,validation,197
203,7ce37fe833a365b82b0b3307d1ac3c4252a5298b3988b76c64c025173ebbc132,LEGITIMATE,train,198
204,d393cf188994401aa3633b793a12819e1a48c89c9630f398f6b5c5d3ddb92f4d,LEGITIMATE,test,199
205,2a71f4220cf2e27e60930f03f6ab3cfc32d87fdf2a436af251ffc4a75642f7ae,SCAM,validation,200
206,df2892287e527b4909a93b671e8f618c6f7b2a3df0f6c6a9ba9b5228589cb530,LEGITIMATE,train,201
207,8f65bb1f916380500ff4fa2465bf2c2db4cdd9840f170b10cd57804186eec41f,LEGITIMATE,test,202
208,1ad04b58fab2b9b22ed9b2c5ee1f205e30d6041d79df6a49c24f47ad7432c0e2,LEGITIMATE,test,203
209,986a19115bd6daba1c7b9391df7d4747b97f23c33d549a204b084020b558c52b,SCAM,train,204
210,f6fe6acca35210541b2d0a51247f9158646515060a558e9d111bc9e967c5a8a0,LEGITIMATE,train,205
211,c3ba5a0d1e554faa8e0a61f648cc1d3a1cb6a1564f2029fb830001c76f1d36e7,LEGITIMATE,train,206
212,0bfd8201d8451c1fadf2354c30aa17a213f965a601418d3f77635973916260f9,LEGITIMATE,train,207
213,819d5eff161e019a7b1eb6481373e3c0c173864e4cf4ee643733eefa6ea9f195,LEGITIMATE,train,208
214,4847d402c9d7033e453dd82de76e7ed007b15c2190a18cb765f244f954d31d9e,LEGITIMATE,train,209
216,3c12e79019acd56c15f4b5fe8b2a5f2873a446250db38dd24b22ae84bb0fde6e,LEGITIMATE,train,210
217,f2cf6fdc1d66a6ff0f63598d6aee8ce2892ee3f3c66c0837ccc120ceea0a6502,LEGITIMATE,train,211
218,f8a3392e0149abbe4656ae2d2ea6fd6e6e68ac44d4b088236306dd078f609344,LEGITIMATE,train,212
219,9582a096bd0775d2c7d76d6b0e19480d7b0d3082d73bd302a580aa5803d9bee3,LEGITIMATE,test,213
220,0f55f1623b5acefe94cc7ace99eb66877b3312d8c4d7097bf776c3d59dbac7b2,LEGITIMATE,train,214
221,51499c03ed20891942f7398fcc10e5e7e80501ca6e8b7d4c6aab31dd6938e98f,LEGITIMATE,train,215
222,1632bf84ed41867bf7ed4d9a8f344271f8632271086d57aa964bcdc3771835a9,LEGITIMATE,train,216
223,9381b77da2c65f14e1dc7beaaa08f915fcf2a7bb8792480389922ccc996dc5bb,LEGITIMATE,train,217
224,2f7e5e62cd5a6345bed1d9f2500a34006f0ac6c66e3773e309b789a1615fe539,LEGITIMATE,train,218
225,f24f444c9ea0a4773f1befe8ccceb37a0089c7660c3e38efac97bae40d9b52bd,SPAM,validation,219
226,dcd9fab00bcb91e30d97e8506f8bf00627cbfedda1d970b35ed52f4deee9b6f3,LEGITIMATE,train,220
227,5838af63b4c824998869b035a28012968649d7d918b2782b9282d03322b9ba0e,LEGITIMATE,train,221
228,0d06c63da7067990e49813df6fcce1b33b9c596382848fbb2f70ea3300749024,SCAM,train,153
229,62ae72d3ac69b2bce2c40c3bb393095c4b18ef5a61434b45bc29f31a5c004dec,LEGITIMATE,train,222
230,80d9c27024eeb07c46c8e32ec0325352adc3178a2165fa17db3be6dea3b395f3,SPAM,train,223
231,6591567f35ffedd1fcb82481b470f1bc0f51b249194ac877c26b2c51db082c0a,LEGITIMATE,train,224
232,2da38c616fecfcea70b648dad8f0c0881c8736749dda37ff1bab35f9d1ee311f,LEGITIMATE,validation,225
234,d1943cfbd3737e0f285a073cb07b89a7ff96fd1267c839c5a5963b3aba4b5a04,LEGITIMATE,validation,226
235,1b597bab82c9e568c6106e03e06fa5866713a31a99dd0a8a82d10575de1efc4d,SCAM,validation,227
236,f15f6dfcb8434d9dd7dea7ad9f62766aec715152aff1de6c6e6462a9667fcb3c,SPAM,train,228
237,8277a2ef04718e5c823dab9c4519231ee335f4c50840267d21ccc28a2f8f4750,LEGITIMATE,train,229
238,47490de18e8383d3c528ed62de151cbe177cfb87be026a938163dc43330a8e72,LEGITIMATE,test,230
239,09a8dc73350307a2dee7593767af688d1c94f831fc8ed0e87c4bcc6c3a201666,LEGITIMATE,train,231
240,b8c621cb114bdecd6405cc77fe944a254d6161e3cdc5e35cfb04514bc52a9dc5,LEGITIMATE,test,232
241,a3b15a1f60e33820f7e3a4376c3010b0fa3aa401e14483897dcc7fc2d0057e73,LEGITIMATE,train,233
242,c8d5fc63841809f439e06a6b59f4fa2149f055690a2f639c1615cd3004086851,LEGITIMATE,train,234
243,5edc6d1b6c1fdabf5b79dfd84f56b6db7dfdcdc77ccf6571eae4c292e3a271c5,LEGITIMATE,train,235
244,398bc1ce793fc8d98a2c2f7cb9bd7336b6083920dabcf39abacb53b6d8be94ab,LEGITIMATE,train,236
245,0f8ddbea89b77bced255d6a85668085524ca44621ce8ac93efb18b2b6a2f6478,LEGITIMATE,validation,237
246,c7397a2a85c65c91dbd5bb0779a70bfa83a5d616d010585e59e17f39975f710b,LEGITIMATE,train,238
247,566a7b24b84bc9e362a5f7ce6abd9005d23d479608324b0f218626e704c8e458,LEGITIMATE,train,239
248,cc2482f72362f32e81bac36229b598f10c54004e40cfa159a1be79ffc6de9660,SCAM,validation,240
249,b544bc17744cda3fa7d21b8b887aaaa8b11d834522e21858acae29b296d5e2aa,LEGITIMATE,test,241
